Age,Income,CreditScore,ConstantFeature,Gender,City,Purchased
56.0,350000.0,836,10.0,Female,Kanpur,No
69.0,48100.0,765,10.0,Female,Delhi,No
46.0,47000.0,388,10.0,Female,Lucknow,No
32.0,80400.0,567,10.0,Female,Kanpur,No
60.0,37200.0,788,10.0,Female,Lucknow,Yes
25.0,49800.0,837,10.0,Female,Lucknow,Yes
38.0,53000.0,346,10.0,female,Delhi,Yes
56.0,37900.0,587,10.0,Male,Delhi,Yes
36.0,28400.0,315,10.0,MALE,Delhi,No
40.0,54000.0,700,10.0,M,Delhi,Yes
28.0,77200.0,385,10.0,MALE,Kanpur,No
28.0,56100.0,549,10.0,MALE,Kanpur,No
41.0,,690,10.0,Male,Delhi,No
,51200.0,634,10.0,Male,Kanpur,No
57.0,,818,10.0,Male,Delhi,No
41.0,,436,10.0,Female,Lucknow,Yes
20.0,42400.0,797,10.0,female,Lucknow,No
39.0,29600.0,776,10.0,Female,Lucknow,No
19.0,26300.0,522,10.0,female,Delhi,No
41.0,51200.0,671,10.0,female,Lucknow,Yes
61.0,65900.0,701,10.0,MALE,Kanpur,No
47.0,53600.0,742,10.0,MALE,Lucknow,Yes
55.0,,789,10.0,female,Lucknow,No
19.0,56900.0,572,10.0,female,Lucknow,Yes
38.0,52800.0,825,10.0,Female,Kanpur,No
50.0,62400.0,458,10.0,Female,Delhi,Yes
29.0,69900.0,451,10.0,MALE,Kanpur,Yes
39.0,,487,10.0,Male,Delhi,No
61.0,14900.0,397,10.0,female,Delhi,No
,44700.0,430,10.0,Female,Lucknow,No
66.0,34700.0,470,10.0,MALE,Delhi,No
44.0,62500.0,482,10.0,Female,Kanpur,No
59.0,39100.0,663,10.0,female,Kanpur,Yes
45.0,21900.0,338,10.0,female,Delhi,No
33.0,41400.0,826,10.0,M,Lucknow,No
32.0,27600.0,796,10.0,Male,Lucknow,No
64.0,73900.0,815,10.0,M,Kanpur,No
68.0,57100.0,648,10.0,MALE,Lucknow,Yes
61.0,59700.0,696,10.0,Female,Delhi,No
69.0,58000.0,460,10.0,MALE,Delhi,Yes
,62600.0,315,10.0,female,Kanpur,Yes
54.0,67000.0,792,10.0,M,Delhi,Yes
68.0,41900.0,725,10.0,M,Kanpur,Yes
24.0,28700.0,407,10.0,M,Delhi,No
,37300.0,749,10.0,MALE,Kanpur,Yes
26.0,49300.0,610,10.0,female,Lucknow,No
56.0,11500.0,469,10.0,Female,Delhi,No
35.0,,845,10.0,Female,Delhi,Yes
21.0,21500.0,713,10.0,MALE,Kanpur,Yes
42.0,59000.0,550,10.0,M,Kanpur,Yes
31.0,47500.0,440,10.0,Male,Delhi,No
67.0,,573,10.0,MALE,Kanpur,No
26.0,42900.0,715,10.0,MALE,Delhi,Yes
43.0,53300.0,338,10.0,female,Lucknow,No
19.0,42900.0,328,10.0,Female,Kanpur,Yes
37.0,41700.0,776,10.0,MALE,Delhi,Yes
45.0,36500.0,617,10.0,MALE,Lucknow,No
